,ids,growth,status,growth_ratio,class
52,{'b0728'},0.858307408022689,optimal,0.9821332936410925,non-essential
53,{'b3870'},0.8739215069684305,optimal,1.000000000000003,non-essential
54,{'b2492'},0.8739215069684279,optimal,1.0,non-essential
55,{'b4077'},0.8739215069684305,optimal,1.000000000000003,non-essential
56,{'b3612'},0.8739215069684305,optimal,1.000000000000003,non-essential
57,{'b1723'},0.8739215069684305,optimal,1.000000000000003,non-essential
58,{'b0474'},0.8739215069684305,optimal,1.000000000000003,non-essential
59,{'b1849'},0.8739215069684305,optimal,1.000000000000003,non-essential
60,{'b0904'},0.8739215069684305,optimal,1.000000000000003,non-essential
61,{'b3528'},0.8739215069684305,optimal,1.000000000000003,non-essential
62,{'b2276'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
63,{'b2287'},0.21166294973531125,optimal,0.2421990396706852,strongly-essential
64,{'b1241'},0.8739215069684313,optimal,1.000000000000004,non-essential
65,{'b1611'},0.8739215069684305,optimal,1.000000000000003,non-essential
66,{'b3493'},0.8739215069684279,optimal,1.0,non-essential
67,{'b0979'},0.8739215069684305,optimal,1.000000000000003,non-essential
68,{'b2579'},0.8739215069684305,optimal,1.000000000000003,non-essential
69,{'b0903'},0.8739215069684311,optimal,1.0000000000000038,non-essential
70,{'b2285'},0.21166294973531022,optimal,0.242199039670684,strongly-essential
71,{'b4015'},0.873921506968431,optimal,1.0000000000000036,non-essential
72,{'b2926'},0.0,optimal,0.0,lethal
73,{'b1852'},0.8638133095040014,optimal,0.9884335179031225,non-essential
74,{'b3403'},0.8739215069684311,optimal,1.0000000000000038,non-essential
75,{'b0734'},0.8739215069684305,optimal,1.000000000000003,non-essential
76,{'b2587'},0.8739215069684305,optimal,1.000000000000003,non-essential
77,{'b1612'},0.8739215069684305,optimal,1.000000000000003,non-essential
78,{'b0727'},0.8583074080226893,optimal,0.9821332936410929,non-essential
79,{'b0720'},0.0,optimal,0.0,lethal
