gene_id,ids,growth,status,growth_ratio,gene_name,n_reactions,essentiality_class
b3916,{'b0351'},0.8739215069684305,optimal,1.000000000000003,pfkA,1,non_essential
b1723,{'b2297'},0.8739215069684305,optimal,1.000000000000003,pfkB,1,non_essential
b0902,{'b0474'},0.8739215069684305,optimal,1.000000000000003,pflA,1,non_essential
b0903,{'b3732'},0.3742298749331099,optimal,0.42821909284654974,pflB,1,partially_essential
b2579,{'b2283'},0.2116629497353105,optimal,0.24219903967068435,grcA,1,partially_essential
b3114,{'b3236'},0.8258192905969891,optimal,0.9449581959158987,tdcE,1,non_essential
b3952,{'b1524'},0.8739215069684306,optimal,1.000000000000003,pflC,1,non_essential
b3951,{'b1849'},0.8739215069684305,optimal,1.000000000000003,pflD,1,non_essential
b4025,{'b2276'},0.21166294973531086,optimal,0.24219903967068476,pgi,1,partially_essential
b2926,{'b2284'},0.21166294973531086,optimal,0.24219903967068476,pgk,1,partially_essential
b0767,{'b1276'},0.873921506968431,optimal,1.0000000000000036,pgl,1,non_essential
b0755,{'b2285'},0.21166294973531022,optimal,0.242199039670684,gpmA,1,partially_essential
b3612,{'b3603'},0.873921506968431,optimal,1.0000000000000036,gpmM,1,non_essential
b4395,{'b3731'},0.37422987493311033,optimal,0.42821909284655024,ytjC,1,partially_essential
b3493,{'b1819'},0.8739215069684305,optimal,1.000000000000003,pitA,1,non_essential
b2987,{'b4077'},0.8739215069684305,optimal,1.000000000000003,pitB,1,non_essential
b3956,{'b2417'},0.8739215069684305,optimal,1.000000000000003,ppc,1,non_essential
b3403,{'b0903'},0.8739215069684305,optimal,1.000000000000003,pck,1,non_essential
b1702,{'b0724'},0.8142975075325314,optimal,0.9317741937228117,ppsA,1,non_essential
b2297,{'b2914'},0.8739215069684294,optimal,1.0000000000000018,pta,1,non_essential
b2458,{'b3386'},0.8739215069684305,optimal,1.000000000000003,eutD,1,non_essential
b1676,{'b3956'},0.8707448062160257,optimal,0.9963650044917398,pykF,1,non_essential
b1854,{'b3735'},0.37422987493311033,optimal,0.42821909284655024,pykA,1,partially_essential
b4301,{'b2976'},0.8739215069684305,optimal,1.000000000000003,sgcE,1,non_essential
b3386,{'b0767'},0.863813309504001,optimal,0.9884335179031222,rpe,1,non_essential
b2914,{'b3114'},0.8739215069684311,optimal,1.0000000000000038,rpiA,1,non_essential
b4090,{'b1818'},0.8739215069684305,optimal,1.000000000000003,rpiB,1,non_essential
b0722,{'b2779'},1.5208622319983277e-15,optimal,1.7402732623826729e-15,sdhD,1,essential
b0724,{'b0875'},0.8739215069684287,optimal,1.000000000000001,sdhB,1,non_essential
b0721,{'b1101'},0.8739215069684305,optimal,1.000000000000003,sdhC,1,non_essential
b0723,{'b0811'},0.8739215069684305,optimal,1.000000000000003,sdhA,1,non_essential
b0728,{'b3734'},0.3742298749331099,optimal,0.42821909284654974,sucC,1,partially_essential
b0729,{'b1478'},0.8739215069684305,optimal,1.000000000000003,sucD,1,non_essential
b2464,{'b2287'},0.21166294973531022,optimal,0.242199039670684,talA,1,partially_essential
b0008,{'b3925'},0.873921506968431,optimal,1.0000000000000036,talB,1,non_essential
b2935,{'b0115'},0.7966959254309569,optimal,0.9116332749317945,tktA,2,non_essential
b2465,{'b1603'},0.8739215069684306,optimal,1.000000000000003,tktB,2,non_essential
b3919,{'b4014'},0.8739215069684305,optimal,1.000000000000003,tpiA,1,non_essential
