,Blood,TumorCore,TumorEdge
MAR03506,7.159871336778389,6.714245517666122,7.400879436282184
MAR03508,3.0,2.584962500721156,3.4594316186372973
MAR03509,3.0,2.584962500721156,3.4594316186372973
MAR03510,1.0,3.169925001442312,2.584962500721156
MAR03511,4.459431618637297,3.321928094887362,4.523561956057013
MAR03512,7.159871336778389,6.714245517666122,7.400879436282184
MAR03513,3.0,2.584962500721156,3.4594316186372973
MAR03514,3.0,2.584962500721156,3.4594316186372973
MAR03515,1.0,3.169925001442312,2.584962500721156
MAR03517,10.914385132155443,10.381542951184585,11.268542000300123
MAR03302,3.0,2.584962500721156,3.4594316186372973
MAR03304,3.0,2.584962500721156,3.4594316186372973
MAR03305,1.0,3.169925001442312,2.584962500721156
MAR03307,3.0,2.584962500721156,3.4594316186372973
MAR03309,3.0,2.584962500721156,3.4594316186372973
MAR03310,1.0,3.169925001442312,2.584962500721156
MAR03312,3.0,2.584962500721156,3.4594316186372973
MAR03314,3.0,2.584962500721156,3.4594316186372973
MAR03315,1.0,3.169925001442312,2.584962500721156
MAR03316,3.0,2.584962500721156,3.4594316186372973
MAR03317,3.0,2.584962500721156,3.4594316186372973
MAR03319,3.0,2.584962500721156,3.4594316186372973
MAR03320,1.0,3.169925001442312,2.584962500721156
MAR03321,7.159871336778389,6.714245517666122,7.400879436282184
MAR03323,3.0,2.584962500721156,3.4594316186372973
MAR03107,9.799281621521923,9.64745842645492,10.163649676015824
MAR03108,11.207624468226758,10.193525360501216,10.957102041562287
MAR03109,8.03342300153745,7.622051819456376,8.330916878114618
MAR03110,9.497851836951117,9.252665432450248,10.001408194392809
MAR03111,9.799281621521923,9.64745842645492,10.163649676015824
MAR03112,11.207624468226758,10.193525360501216,10.957102041562287
MAR03113,8.03342300153745,7.622051819456376,8.330916878114618
MAR03114,9.497851836951117,9.252665432450248,10.001408194392809
MAR03115,9.799281621521923,9.64745842645492,10.163649676015824
MAR03116,11.207624468226758,10.193525360501216,10.957102041562287
MAR03117,8.03342300153745,7.622051819456376,8.330916878114618
MAR03118,9.497851836951117,9.252665432450248,10.001408194392809
MAR03121,9.799281621521923,9.64745842645492,10.163649676015824
MAR03122,11.207624468226758,10.193525360501216,10.957102041562287
MAR03123,8.03342300153745,7.622051819456376,8.330916878114618
MAR03125,9.497851836951117,9.252665432450248,10.001408194392809
MAR03128,9.799281621521923,9.64745842645492,10.163649676015824
MAR03129,11.207624468226758,10.193525360501216,10.957102041562287
MAR03130,8.03342300153745,7.622051819456376,8.330916878114618
MAR03132,9.497851836951117,9.252665432450248,10.001408194392809
MAR03135,9.799281621521923,9.64745842645492,10.163649676015824
MAR03136,11.207624468226758,10.193525360501216,10.957102041562287
MAR03137,8.03342300153745,7.622051819456376,8.330916878114618
