reaction,min_wt,max_wt,range_wt,min_ko,max_ko,range_ko,delta_range,delta_abs,delta_min,delta_max
NADTRHD,0.0,2.327306431371252e-12,2.327306431371252e-12,43.72667877610213,79.3681786564162,35.64149988031407,35.64149988031174,35.64149988031174,43.72667877610213,79.36817865641387
NH4t,4.765319193197438,4.765319193197491,5.240252676230739e-14,3.838972669285681,3.838972669285685,3.9968028886505635e-15,-4.8405723873656825e-14,4.8405723873656825e-14,-0.9263465239117572,-0.9263465239118056
O2t,21.799492655998634,21.79949265599881,1.7763568394002505e-13,27.526330981849902,29.225418549965543,1.6990875681156403,1.6990875681154627,1.6990875681154627,5.7268383258512685,7.425925893966731
PDH,9.2825325991661,9.282532599169013,2.9132252166164108e-12,0.0,3.398175136231162,3.398175136231162,3.398175136228249,3.398175136228249,-9.2825325991661,-5.884357462937851
PFK,7.477381962159844,7.477381962160818,9.743317264110374e-13,0.0,0.0,0.0,-9.743317264110374e-13,9.743317264110374e-13,-7.477381962159844,-7.477381962160818
PFL,0.0,4.852178732177295e-13,4.852178732177295e-13,0.0,3.3981751362311625,3.3981751362311625,3.398175136230677,3.398175136230677,0.0,3.398175136230677
PGI,4.860861146495144,4.860861146498539,3.3955060985135788e-12,-18.04341091820502,-18.043410918204977,4.263256414560601e-14,-3.3528735343679728e-12,3.3528735343679728e-12,-22.904272064700162,-22.904272064703516
PGK,-16.023526143168223,-16.023526143167057,1.1652900866465643e-12,-8.828764133541732,-8.828764133541725,7.105427357601002e-15,-1.1581846592889633e-12,1.1581846592889633e-12,7.194762009626491,7.194762009625332
PGL,4.959984944573252,4.959984944575991,2.7391422463551862e-12,27.899083343893867,27.899083343893913,4.618527782440651e-14,-2.6929569685307797e-12,2.6929569685307797e-12,22.939098399320613,22.93909839931792
PGM,-14.716139568743452,-14.71613956874243,1.0231815394945443e-12,-7.775524859544632,-7.775524859544626,6.217248937900877e-15,-1.0169642905566434e-12,1.0169642905566434e-12,6.940614709198821,6.940614709197804
PIt2r,3.2148950476847578,3.2148950476847697,1.199040866595169e-14,2.589940720088985,2.589940720088997,1.199040866595169e-14,0.0,0.0,-0.624954327595773,-0.624954327595773
PPC,2.5043094703658038,2.504309470369688,3.884448318558498e-12,2.0174882777848078,19.838238217941807,17.820749940157,17.820749940153117,17.820749940153117,-0.486821192580996,17.33392874757212
PPCK,0.0,5.414051116665243e-13,5.414051116665243e-13,0.0,17.820749940156976,17.820749940156976,17.820749940156436,17.820749940156436,0.0,17.820749940156436
PPS,0.0,7.27826809826595e-13,7.27826809826595e-13,4.607428997873797,22.428178938030808,17.82074994015701,17.820749940156283,17.820749940156283,4.607428997873797,22.42817893803008
PTAr,0.0,1.250436521415541e-13,1.250436521415541e-13,0.0,9.568927955170205e-15,9.568927955170205e-15,-1.154747241863839e-13,1.154747241863839e-13,0.0,-1.154747241863839e-13
PYK,1.758177444106066,1.7581774441091709,3.1048497106667128e-12,0.0,17.820749940156997,17.820749940156997,17.820749940153892,17.820749940153892,-1.758177444106066,16.062572496047824
PYRt2,-8.020816469133687e-14,0.0,8.020816469133687e-14,-7.898389087467532e-15,0.0,7.898389087467532e-15,-7.230977560386933e-14,7.230977560386933e-14,7.230977560386933e-14,0.0
RPE,2.6784818505063193,2.678481850508648,2.3288038164537284e-12,18.093327137808178,18.09332713780821,3.197442310920451e-14,-2.296829393344524e-12,2.296829393344524e-12,15.414845287301858,15.414845287299562
RPI,-2.2815030940675514,-2.281503094066644,9.072742557236779e-13,-9.805756206085702,-9.805756206085691,1.0658141036401503e-14,-8.966161146872764e-13,8.966161146872764e-13,-7.524253112018151,-7.524253112019047
SUCCt2_2,-4.400707534105762e-14,9.704357464354592e-13,1.0144428217765168e-12,-1.1469608113581547e-14,23.76099992020929,23.7609999202093,23.760999920208285,23.760999920208285,3.253746722747608e-14,23.76099992020832
SUCCt3,0.0,7.033518122043714e-13,7.033518122043714e-13,0.0,23.76099992020924,23.76099992020924,23.760999920208537,23.760999920208537,0.0,23.760999920208537
SUCDi,5.064375661481707,1000.0,994.9356243385183,-6.491625125127674e-15,1000.0,1000.0,5.064375661481677,5.064375661481677,-5.064375661481713,0.0
SUCOAS,-5.064375661482632,-5.064375661479804,2.8279600883251987e-12,-9.686771070435737e-15,0.0,9.686771070435737e-15,-2.818273317254763e-12,2.818273317254763e-12,5.0643756614826225,5.064375661479804
TALA,1.4969837572611249,1.496983757262125,1.000088900582341e-12,9.173742237992645,9.17374223799266,1.4210854715202004e-14,-9.85878045867139e-13,9.85878045867139e-13,7.67675848073152,7.676758480730534
THD2,0.0,2.3061399371924674e-12,2.3061399371924674e-12,0.0,35.64149988031401,35.64149988031401,35.6414998803117,35.6414998803117,0.0,35.6414998803117
TKT1,1.496983757261099,1.4969837572619937,8.948397578478762e-13,9.173742237992645,9.173742237992657,1.2434497875801753e-14,-8.824052599720744e-13,8.824052599720744e-13,7.6767584807315465,7.676758480730664
TKT2,1.1814980932454966,1.1814980932464094,9.128253708468037e-13,8.919584899815536,8.91958489981556,2.3092638912203256e-14,-8.897327319346005e-13,8.897327319346005e-13,7.73808680657004,7.73808680656915
TPI,7.4773819621598925,7.4773819621608935,1.0009770790020411e-12,-6.4916251251276766e-15,0.0,6.4916251251276766e-15,-9.944854538769135e-13,9.944854538769135e-13,-7.477381962159899,-7.4773819621608935
